NRTEL	NRMIEJSCOW	ADRES	OPLATY
842-53-11	1	Dworcowa 3/2	80
846-51-51	1	Legnicka 2/5	50
842-56-74	2	Wiejska 5 x	19,5
833-33-33	2	Legnicka 12/4	22
844-44-44	1	Szpakowa 2a/6	48
844-44-40	1	Leœna 14	106
844-55-55	2	Legnicka 11/2	78,6
844-55-66	2	Krucza 6a/8	82
844-44-41	1	Polna 2/21	65
855-55-55	2	Jasna 4/5	49
842-53-10	1	Dworcowa 4/8	38
846-56-47	1	Legnicka 17/4	56,8
846-56-74	1	Wiejska 12/2	113,7
847-56-74	1	Gwarków 4 x	29
357-68-68	2	Podzamcze 6	82
845-33-33	3	Polna 41/7	30
847-13-13	1	Z³ota 31/2x	48
842-12-42	1	Pawia 2/4	80,7
842-16-23	1	Orla 7b/14	155,55
846-24-15	1	Sokola 7/35	35
846-37-23	1	Ptasia 9/10	56
846-37-26	1	Wrzosowa 6	123
846-76-86	1	Tuwima 4/4	74
847-29-57	1	Ksiêcia 8/1	48
811-11-11	2	Legnicka 18/4	27
814-51-35	1	Zielona 54/12	45,3
823-53-53	5	Cicha 5/5	103,4
844-44-42	1	Bia³a 15/3	78
844-44-43	1	Krakowska 17/6	42,3
